"id","Numéro_questionnaire","Q20_ann_occup","Q11_prof_ville","Ressaltint","Ressaltext","Q11_boiss_bout","Q11_boiss_pluie","Q11_boiss_puits","Q11_boiss_autre","Q11_cafe_bout","Q11_cafe_pluie","Q11_cafe_puits","Q11_cafe_autre","Q11_repas_bout","Q11_repas_pluie","Q11_repas_puits","Q11_repas_autre","Q11_vaiss_bout","Q11_vaiss_pluie","Q11_vaiss_puits","Q11_vaiss_autre","Q11_hyg_bout","Q11_hyg_pluie","Q11_hyg_puits","Q11_hyg_autre","Q11_linge_bout","Q11_linge_pluie","Q11_linge_puits","Q11_linge_autre","Q11_nett_bout","Q11_nett_pluie","Q11_nett_puits","Q11_nett_autre","Q11_WC_bout","Q11_WC_pluie","Q11_WC_puits","Q11_WC_autre","Q11_jard_bout","Q11_jard_pluie","Q11_jard_puits","Q11_jard_autre","Q11_voit_bout","Q11_voit_pluie","Q11_voit_puits","Q11_voit_autre","Q11_ext_bout","Q11_ext_pluie","Q11_ext_puits","Q11_ext_autre","Q11_pisc_bout","Q11_pisc_pluie","Q11_pisc_puits","Q11_pisc_autre","Pondérationprov","Pondérationage","Pondérationstatut","Pondérationstatgeo","Pondérationstatgeocorr","POIDS_GeoStatAgePers1","POIDS_Geo_Stat_AgeP1_AgeL","PondArrEvol","Q1_uti_eau","Q1_conso_eau","Consoeauverif","Diffconseau","PCWC","PCWCTm1only","Q29_cit","CP","Code_postal","Commune","Arr","Arr_group","Province","Distributeur","Q14_stat_occup","Q15_type_log","Q15_autre_type_log","Q17_ann_constr","PeriodeConstr_6classes","PeriodeConstr_Simulateur","Q16_superf_hab","Q16_superf_hab_COR","Q16_superf_hab_COR_CAT","Superf_hab_Nb_Decile","Superf_hab_MoyenneDeDecile","Q16_superf_hab_CATEG","Q18_0_cuis","Q18_1_cuis","Q18_2_cuis","Q18_3plus_cuis","Nb_cuisines","Q18_0_sal","Q18_1_sal","Q18_2_sal","Q18_3plus_sal","Nb_salons","Q18_0_cham","Q18_1_cham","Q18_2_cham","Q18_3plus_cham","Nb_chambres","Q18_0_sdb","Q18_1_sdb","Q18_2_sdb","Q18_3plus_sdb","Nb_SDB","Q18_0_toil","Q18_1_toil","Q18_2_toil","Q18_3plus_toil","Nb_WC","Q11_pisc_ville","Q24_pisc_perm_pres","Q24_pisc_perm_rempl","Q24_pisc_temp_pres","Q24_pisc_temp_rempl","Q11_jard_ville","Q24_cit_pres","Q24_cit_rempl","Puits","Q23_vais_pres","Q23_vais_rempl","Q23_lav_pres","Q23_lav_rempl","Q24_baig_pres","Q24_baig_rempl","Q24_dou_pres","Q24_dou_rempl","Q24_pom_pres","Q24_pom_rempl","Q24_wc_pres","Q24_wc_rempl","Q24_toi_sech_pres","Q24_toi_sech_rempl","NB_PERS_14plus","NB_PERS_moins14","EQUIVAL_ADULTE","NB_PERS","Tmtot","Tmstdard","Q26_pers1_occ","Q26_pers2_occ","Q26_pers3_occ","Q26_pers4_occ","Q26_pers5_occ","Q26_pers6_occ","Q26_pers7_occ","Q26_pers8_occ","Q26_pers9_occ","Q26p1occ","Q26p2occ","Q26p3occ","Q26p4occ","Q26p5occ","Q26p6occ","Q26p7occ","Q26p8occ","Q26p9occ","Q27_inocc","PrésenceDansLog","PrésenceDansLogSemain","Q28_rev","Q26_pers1_naiss","Q26_pers2_naiss","Q26_pers3_naiss","Q26_pers4_naiss","Q26_pers5_naiss","Q26_pers6_naiss","Q26_pers7_naiss","Q26_pers8_naiss","Q26_pers9_naiss","AgeP1","AgeP1_5classes","Q26_pers1_sexe","Q26_pers2_sexe","Q26_pers3_sexe","Q26_pers4_sexe","Q26_pers5_sexe","Q26_pers6_sexe","Q26_pers7_sexe","Q26_pers8_sexe","Q26_pers9_sexe","Q26_pers1_act","Q26_pers2_act","Q26_pers3_act","Q26_pers4_act","Q26_pers5_act","Q26_pers6_act","Q26_pers7_act","Q26_pers8_act","Q26_pers9_act","Q26_pers1_inact","Q26_pers2_inact","Q26_pers3_inact","Q26_pers4_inact","Q26_pers5_inact","Q26_pers6_inact","Q26_pers7_inact","Q26_pers8_inact","Q26_pers9_inact","Q26_pers1_dipl","Q26_pers2_dipl","Q26_pers3_dipl","Q26_pers4_dipl","Q26_pers5_dipl","Q26_pers6_dipl","Q26_pers7_dipl","Q26_pers8_dipl","Q26_pers9_dipl","Dipl_P1_6classes","Q8_fd_eau","Q8_pas_aide","Q10_probl_fact_eau","TauxEffortHydrique","TEH2","TEH3","Q12_conf_eau","Q13_param_eau","Q7_paye_eau","Q7_paye_charg_loc","Q7_eau_1mois","Q7_eau_2mois","Q7_eau_3mois","Q7_eau_6mois","Q7_eau_1an","Factureeau1an","Factureeaucalculée","Q7_charges_1mois","Q7_charges_2mois","Q7_charges_3mois","Q7_charges_6mois","Q7_charges_1an","Q9_compt_budg_eau","Q9_lim_eau","Q9_neant"
456,2043,1999,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Oui","Non","Non","Non","Oui","Non","Non","Non","Oui","Non","Non","Non","Oui","Non","Non","Non","Oui","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non",1.0621,0.7995,0.7775,0.802,0.802,0.559211,0.402072,0.65,"Oui",16,15.48,0.52,42.410959,42.410959,"Non",7520,7520,"TOURNAI","Tournai","Ath/Mouscron/Tournai","Hainaut","SWDE","Propriétaire qui ne rembourse pas ou plus de crédit hypothécaire","Maison 4 façades",NA,"Entre 1991 et 2000","Entre 1991 et 2000","de 89 à 2000",210,210,"Entre 201 et 250 m2","Entre 201 et 400 m2",262,"Plus de 175 m²","Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Non","Non","Oui",3,"Non","Oui","Non","Non",1,"Non","Non","Oui","Non",2,"Non","Non","Non","Non","Non","Non","Oui","Non","""Non""","Non","Non","Oui","Non","Oui","Non","Oui","Non","Non","Non","Oui","Non","Non","Non",1,0,1,1,1,1,"Toute la semaine",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,1,"Entre 1000 et 1499 €/mois",1929,NA,NA,NA,NA,NA,NA,NA,NA,86,"65 ans ou plus","Féminin",NA,NA,NA,NA,NA,NA,NA,NA,"Aucune des catégories précitées",NA,NA,NA,NA,NA,NA,NA,NA,"(Pré)pensionné",NA,NA,NA,NA,NA,NA,NA,NA,"Primaire/pas de diplôme",NA,NA,NA,NA,NA,NA,NA,NA,"Primaire/pas de diplôme","Non","Oui","Non, j'ai toujours pu payer ma facture à temps",0.884904,"Non","Non","Plutôt confiant",NA,"Tous les 2 mois","Pas usager",NA,64,NA,NA,NA,384,132.735638,NA,NA,NA,NA,NA,"Non","Non","Oui"
457,6083,1969,"Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non",0.7319,0.5401,0.7775,0.554,0.32409,0.386288,0.389764,1.0732,"Oui",71,70.42,0.58,96.465753,96.465753,"Non",1400,1400,"NIVELLES","Nivelles","Nivelles","Brabant Wallon","SWDE","Propriétaire qui ne rembourse pas ou plus de crédit hypothécaire","Maison mitoyenne (2 façades)",NA,"Entre 1946 et 1970","Entre 1946 et 1970","Avant 1975",140,140,"Entre 101 et 150 m2","Entre 131 et 150 m2",146,"131 à 175 m²","Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Non","Non","Oui",3,"Non","Oui","Non","Non",1,"Non","Non","Oui","Non",2,"Non","Non","Non","Non","Non","Oui","Non","Non","""Non""","Oui","Oui","Oui","Oui","Oui","Non","Non","Non","Oui","Non","Oui","Oui","Non","Non",2,0,1.5,2,2,2,"Toute la semaine","Toute la semaine",NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,10,0.807692,1,"Entre 3500 et 3999 €/mois",1942,1942,NA,NA,NA,NA,NA,NA,NA,73,"65 ans ou plus","Masculin","Féminin",NA,NA,NA,NA,NA,NA,NA,"Aucune des catégories précitées","Aucune des catégories précitées",NA,NA,NA,NA,NA,NA,NA,"(Pré)pensionné","(Pré)pensionné",NA,NA,NA,NA,NA,NA,NA,"Technique","Supérieur non universitaire",NA,NA,NA,NA,NA,NA,NA,"Professionnel/Technique","Non","Oui","Non, j'ai toujours pu payer ma facture à temps",0.75699,"Non","Non","Plutôt confiant",NA,"NSP","Pas usager",NA,NA,NA,NA,NA,NA,340.645363,NA,NA,NA,NA,NA,"Non","Non","Oui"
458,13785,1984,"Non","Non","oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Oui","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non",0.7319,0.4678,0.7775,0.554,0.32409,0.386288,0.432642,1.0732,"Oui",51,83,-32,113.69863,113.69863,"Non",1300,1300,"WAVRE","Nivelles","Nivelles","Brabant Wallon","IECBW","Propriétaire qui ne rembourse pas ou plus de crédit hypothécaire","Maison jumelée (3 façades)",NA,"Entre 1919 et 1945","Entre 1919 et 1945","Avant 1975",80,80,"Entre 71 et 100 m2","Entre 65 et 80 m2",76,"de 65 à 80 m²","Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Non","Oui","Non",2,"Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Non","Non","Non","Non","Non","Non","Non","""Non""","Oui","Non","Oui","Non","Oui","Non","Non","Non","Non","Non","Oui","Non","Non","Non",2,0,1.5,2,2,2,"Toute la semaine","Toute la semaine",NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,10,0.807692,1,"Entre 2000 et 2499 €/mois",1946,1949,NA,NA,NA,NA,NA,NA,NA,69,"65 ans ou plus","Masculin","Féminin",NA,NA,NA,NA,NA,NA,NA,"Aucune des catégories précitées","Aucune des catégories précitées",NA,NA,NA,NA,NA,NA,NA,"(Pré)pensionné","(Pré)pensionné",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non","Oui","Non, j'ai toujours pu payer ma facture à temps",1.318925,"Non","Non","Plutôt confiant",NA,"Tous les 3 mois","Pas usager",NA,NA,66,NA,NA,264,356.10965,NA,NA,NA,NA,NA,"Non","Non","Oui"
460,6907,1998,"Non","Non","oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non",1.0934,1.0665,0.7775,0.8108,0.955122,0.813573,1.134934,0.9958,"Oui",55,67,-12,111.249481,NA,"Non",4000,4000,"LIEGE","Liège","Liège","Liège","CILE","Propriétaire qui rembourse un crédit hypothécaire","Maison mitoyenne (2 façades)",NA,"Entre 1875 et 1918","Avant 1919","Avant 1975",200,200,"Entre 151 et 200 m2","Entre 176 et 200 m2",193,"Plus de 175 m²","Non","Oui","Non","Non",1,"Non","Non","Oui","Non",2,"Non","Non","Non","Oui",3,"Non","Non","Oui","Non",2,"Non","Non","Oui","Non",2,"Non","Non","Non","Non","Non","Oui","Non","Non","""Non""","Oui","Oui","Oui","Non","Non","Non","Oui","Non","Oui","Non","Oui","Non","Non","Non",4,0,2.5,4,4,1.65,"La moitié de la semaine ou plus","Moins de la moitié de la semaine","La moitié de la semaine ou plus","La moitié de la semaine ou plus",NA,NA,NA,NA,NA,0.5,0.15,0.5,0.5,0,0,0,0,0,5,0.451923,0.5,"Entre 4000 et 4499 €/mois",1970,1959,1998,2000,NA,NA,NA,NA,NA,45,"De 45 à 54 ans","Masculin","Féminin","Masculin","Masculin",NA,NA,NA,NA,NA,"Fonctionnaire / Enseignant","Fonctionnaire / Enseignant","Aucune des catégories précitées","Aucune des catégories précitées",NA,NA,NA,NA,NA,"Non concerné","Non concerné","Etudiant/Elève","Etudiant/Elève",NA,NA,NA,NA,NA,"Universitaire","Supérieur non universitaire","Secondaire inférieur (3ème secondaire)","Secondaire inférieur (3ème secondaire)",NA,NA,NA,NA,NA,"Universitaire","Non","Oui","Non, j'ai toujours pu payer ma facture à temps",0.6393,"Non","Non","Plutôt confiant",NA,"Tous les 3 mois","Pas usager",NA,NA,115,NA,NA,460,326.042962,NA,NA,NA,NA,NA,"Non","Non","Oui"
461,9676,2004,"Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non",1.0621,1.5859,0.7775,0.802,0.944756,1.070389,1.198836,0.65,"Oui",3000,78.28,2921.72,53.616438,53.616438,"Non",7730,7730,"ESTAIMPUIS","Tournai","Ath/Mouscron/Tournai","Hainaut","SWDE","Propriétaire qui rembourse un crédit hypothécaire","Maison mitoyenne (2 façades)",NA,"Entre 1919 et 1945","Entre 1919 et 1945","Avant 1975",150,150,"Entre 101 et 150 m2","Entre 131 et 150 m2",146,"131 à 175 m²","Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Non","Non","Oui",3,"Non","Oui","Non","Non",1,"Non","Non","Oui","Non",2,"Non","Non","Non","Non","Non","Non","Non","Non","""Non""","Oui","Oui","Oui","Oui","Oui","Non","Non","Non","Non","Non","Oui","Non","Non","Non",2,2,2.1,4,4,4,"Toute la semaine","Toute la semaine","Toute la semaine","Toute la semaine",NA,NA,NA,NA,NA,1,1,1,1,0,0,0,0,0,2,0.961538,1,"Entre 2500 et 2999 €/mois",1981,1984,2009,2012,NA,NA,NA,NA,NA,34,"Moins de 35 ans","Féminin","Masculin","Masculin","Masculin",NA,NA,NA,NA,NA,"Fonctionnaire / Enseignant","Ouvrier",NA,NA,NA,NA,NA,NA,NA,"Non concerné","Non concerné","Etudiant/Elève","Etudiant/Elève",NA,NA,NA,NA,NA,"Supérieur non universitaire","Professionnel",NA,NA,NA,NA,NA,NA,NA,"Supérieur non universitaire","Non","Oui","Non, j'ai toujours pu payer ma facture à temps",1.142779,"Non","Non","Plutôt confiant","assez calcaire","Tous les 3 mois","Pas usager",NA,NA,99,NA,NA,396,377.116942,NA,NA,NA,NA,NA,"Non","Non","Oui"
465,9465,1989,"Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non",1.0934,0.8195,0.7775,0.8108,0.8108,0.813573,0.732216,1.2639,"Oui",65,63.61,1.39,87.136986,87.136986,"Non",4700,4700,"EUPEN","Verviers","Verviers","Liège","SWDE","Propriétaire qui ne rembourse pas ou plus de crédit hypothécaire","Maison mitoyenne (2 façades)",NA,"Entre 1981 et 1990","Entre 1971 et 1990","de 83 à 88",100,100,"Entre 71 et 100 m2","Entre 91 et 100 m2",99,"de 81 à 100 m²","Non","Oui","Non","Non",1,"Non","Non","Oui","Non",2,"Non","Non","Oui","Non",2,"Non","Oui","Non","Non",1,"Non","Non","Oui","Non",2,"Non","Non","Non","Non","Non","Oui","Non","Non","""Non""","Oui","Oui","Oui","Oui","Oui","Non","Oui","Non","Oui","Non","Oui","Non","Non","Non",2,0,1.5,2,2,2,"Toute la semaine","Toute la semaine",NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,4,0.923077,1,"Entre 3000 et 3499 €/mois",1956,1957,NA,NA,NA,NA,NA,NA,NA,59,"De 55 à 64 ans","Masculin","Féminin",NA,NA,NA,NA,NA,NA,NA,"Fonctionnaire / Enseignant","Ouvrier",NA,NA,NA,NA,NA,NA,NA,"Non concerné","Non concerné",NA,NA,NA,NA,NA,NA,NA,"Supérieur non universitaire","Professionnel",NA,NA,NA,NA,NA,NA,NA,"Supérieur non universitaire","Non","Oui","Non, j'ai toujours pu payer ma facture à temps",0.792425,"Non","Non","Confiant",NA,"Tous les 3 mois","Pas usager",NA,NA,100,NA,NA,400,309.045942,NA,NA,NA,NA,NA,"Non","Non","Oui"
466,7324,1985,"Oui","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non",1.0934,0.8195,0.7775,0.8108,0.8108,0.813573,0.820895,0.8676,"Oui",127,129.96,-2.96,178.027397,178.027397,"Non",4280,4280,"HANNUT","Waremme","Huy/Waremme","Liège","SWDE","Propriétaire qui ne rembourse pas ou plus de crédit hypothécaire","Maison 4 façades",NA,"Entre 1946 et 1970","Entre 1946 et 1970","Avant 1975",250,250,"Entre 201 et 250 m2","Entre 201 et 400 m2",262,"Plus de 175 m²","Non","Oui","Non","Non",1,"Non","Oui","Oui","Non",2,"Non","Non","Non","Oui",3,"Non","Non","Oui","Non",2,"Non","Non","Non","Oui",3,"Oui","Oui","Non","Non","Non","Oui","Non","Non","""Non""","Oui","Non","Oui","Non","Oui","Non","Oui","Non","Non","Non","Oui","Non","Non","Non",2,0,1.5,2,2,2,"Toute la semaine","Toute la semaine",NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,6,0.884615,1,"5000 ou plus €/mois",1958,1958,NA,NA,NA,NA,NA,NA,NA,57,"De 55 à 64 ans","Masculin","Féminin",NA,NA,NA,NA,NA,NA,NA,"Indépendant","Sans emploi rémunéré",NA,NA,NA,NA,NA,NA,NA,"Non concerné",NA,NA,NA,NA,NA,NA,NA,NA,"Supérieur non universitaire","Supérieur non universitaire",NA,NA,NA,NA,NA,NA,NA,"Supérieur non universitaire","Non","Oui","Non, j'ai toujours pu payer ma facture à temps",1.0282,"Non","Non","Confiant",NA,"Pas usager","Pas usager",NA,NA,NA,NA,NA,NA,616.919894,NA,NA,NA,NA,NA,"Non","Non","Oui"
468,10870,2011,"Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non",1.0621,0.6851,0.7775,0.802,0.802,0.804743,0.57861,1.0264,"Oui",23,24.61,-1.61,33.712329,33.712329,"Non",7130,7130,"BINCHE","Thuin","Thuin","Hainaut","SWDE","Propriétaire qui ne rembourse pas ou plus de crédit hypothécaire","Maison mitoyenne (2 façades)",NA,"2006 et ultérieurement","Après 2000","Après 2000",100,100,"Entre 71 et 100 m2","Entre 91 et 100 m2",99,"de 81 à 100 m²","Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Non","Oui","Non",2,"Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Non","Non","Non","Non","Non","Non","Non","""Non""","Oui","Non","Oui","Non","Oui","Non","Non","Non","Oui","Oui","Oui","Oui","Non","Non",2,0,1.5,2,2,2,"Toute la semaine","Toute la semaine",NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,7,0.865385,1,"Entre 2500 et 2999 €/mois",1953,1957,NA,NA,NA,NA,NA,NA,NA,62,"De 55 à 64 ans","Masculin","Féminin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Pré)pensionné","En incapacité maladie/ invaldité",NA,NA,NA,NA,NA,NA,NA,"Supérieur non universitaire","Primaire/pas de diplôme",NA,NA,NA,NA,NA,NA,NA,"Supérieur non universitaire","Non","Oui","Non, j'ai toujours pu payer ma facture à temps",0.441014,"Non","Non","Ni confiant, ni méfiant",NA,"Par an","Pas usager",NA,NA,NA,NA,149,149,145.534529,NA,NA,NA,NA,NA,"Non","Non","Oui"
469,1119,1988,"Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non",1.0934,0.8195,0.7775,0.8108,0.8108,0.813573,0.911202,1.2639,"Oui",154,163.29,-9.29,111.842466,111.842466,"Non",4850,4850,"PLOMBIERES","Verviers","Verviers","Liège","SWDE","Propriétaire qui ne rembourse pas ou plus de crédit hypothécaire","Maison jumelée (3 façades)",NA,"Entre 1919 et 1945","Entre 1919 et 1945","Avant 1975",71,71,"Entre 71 et 100 m2","Entre 65 et 80 m2",76,"de 65 à 80 m²","Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Non","Non","Oui",3,"Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Oui","Non","Non","Oui","Non","Oui","Oui","Non","""Non""","Oui","Oui","Oui","Oui","Oui","Non","Non","Non","Oui","Oui","Oui","Oui","Non","Non",4,0,2.5,4,4,4,"Toute la semaine","Toute la semaine","Toute la semaine","Toute la semaine",NA,NA,NA,NA,NA,1,1,1,1,0,0,0,0,0,0,1,1,"Entre 3500 et 3999 €/mois",1957,1960,1989,1994,NA,NA,NA,NA,NA,58,"De 55 à 64 ans","Masculin","Féminin","Féminin","Féminin",NA,NA,NA,NA,NA,"Cadre","Aucune des catégories précitées","Ouvrier","Sans emploi rémunéré",NA,NA,NA,NA,NA,"Non concerné","Femme/homme au foyer","Non concerné","Demandeur d'emploi",NA,NA,NA,NA,NA,"Technique","Primaire/pas de diplôme","Technique","Technique",NA,NA,NA,NA,NA,"Professionnel/Technique","Non","Oui","Oui c'est déjà arrivé que je ne puisse pas payer ma facture à temps",1.714614,"Non","Non","Plutôt confiant",NA,"Tous les 3 mois","Pas usager",NA,NA,194,NA,NA,776,771.576094,NA,NA,NA,NA,NA,"Non","Non","Oui"
470,6051,1960,"Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non",1.3455,0.7307,0.7775,1.0478,1.0478,0.7306,1.019186,1.0929,"Oui",NA,54.82,NA,150.191781,150.191781,"Non",6880,6880,"BERTRIX","Neufchâteau","Province du Luxembourg","Luxembourg","SWDE","Propriétaire qui ne rembourse pas ou plus de crédit hypothécaire","Maison 4 façades",NA,"Avant 1875","Avant 1919","Avant 1975",100,100,"Entre 71 et 100 m2","Entre 91 et 100 m2",99,"de 81 à 100 m²","Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Non","Non","Oui",3,"Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Non","Non","Non","Non","Non","Non","Non","""Non""","Non","Non","Oui","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non",1,0,1,1,1,1,"Toute la semaine",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,1,"Entre 1000 et 1499 €/mois",1925,NA,NA,NA,NA,NA,NA,NA,NA,90,"65 ans ou plus","Masculin",NA,NA,NA,NA,NA,NA,NA,NA,"Aucune des catégories précitées",NA,NA,NA,NA,NA,NA,NA,NA,"(Pré)pensionné",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non","Non","Non, j'ai toujours pu payer ma facture à temps",1.788393,"Non","Non","Ni confiant, ni méfiant",NA,"Tous les 3 mois","Pas usager",NA,NA,67,NA,NA,268,268.259023,NA,NA,NA,NA,NA,"Non","Non","Oui"
471,725,1974,"Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non",1.3455,0.6483,0.7775,1.0478,1.0478,0.7306,1.019186,0.5549,"Oui",85,134.63,-49.63,184.424658,184.424658,"Non",6792,6792,"AUBANGE","Arlon","Province du Luxembourg","Luxembourg","SWDE","Propriétaire qui ne rembourse pas ou plus de crédit hypothécaire","Maison 4 façades",NA,"Entre 1875 et 1918","Avant 1919","Avant 1975",80,80,"Entre 71 et 100 m2","Entre 65 et 80 m2",76,"de 65 à 80 m²","Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Non","Oui","Non",2,"Non","Oui","Non","Non",1,"Non","Non","Oui","Non",2,"Non","Non","Non","Non","Non","Non","Non","Non","""Non""","Oui","Non","Oui","Non","Non","Non","Oui","Non","Oui","Non","Oui","Non","Non","Non",2,0,1.5,2,2,2,"Toute la semaine","Toute la semaine",NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,10,0.807692,1,"Entre 2000 et 2499 €/mois",1938,1939,NA,NA,NA,NA,NA,NA,NA,77,"65 ans ou plus","Masculin","Féminin",NA,NA,NA,NA,NA,NA,NA,"Aucune des catégories précitées","Aucune des catégories précitées",NA,NA,NA,NA,NA,NA,NA,"(Pré)pensionné","(Pré)pensionné",NA,NA,NA,NA,NA,NA,NA,"Secondaire supérieur général (6ème secondaire)","Secondaire supérieur général (6ème secondaire)",NA,NA,NA,NA,NA,NA,NA,"Secondaire supérieur général (6ème secondaire)","Non","Oui","Non, j'ai toujours pu payer ma facture à temps",2.365146,"Oui","Non","Plutôt confiant",NA,"Tous les 3 mois","Pas usager",NA,NA,75,NA,NA,300,638.589395,NA,NA,NA,NA,NA,"Non","Non","Oui"
